url,name,description,homepage,forks,stars,issues,subscribers_count,watchers_count,created_at
https://api.github.com/repos/22dugara/AICredit,AICredit,,,3,0,,0,0,2019-05-10 11:53:49
https://api.github.com/repos/agnelvishal/newsDiet,newsDiet,A better way to pick articles to read,,4,5,,2,5,2019-01-09 19:51:06
https://api.github.com/repos/agnelvishal/notepad,notepad,Type anywhere on the notepad!,https://sarchy.co/notepad/,9,2,,1,2,2019-08-09 08:37:44
https://api.github.com/repos/agnelvishal/sarchy,sarchy,A customizable search engine,,0,1,,1,1,2019-08-08 10:39:16
https://api.github.com/repos/agnelvishal/TrustingTrust,TrustingTrust,,,1,3,,1,3,2018-03-15 11:38:34
https://api.github.com/repos/akshaychavakula/Decemia-TigerHacks2019,Decemia-TigerHacks2019,Decemia is a decentralized academic journal built on BlockStack for TigerHacks 2019,,0,0,,2,0,2019-11-09 16:42:09
https://api.github.com/repos/algomaks/car-assistant,car-assistant,100% private and secure app to track everything about your car.,,0,0,,1,0,2019-08-07 22:08:19
https://api.github.com/repos/alicedapp/AliceX,AliceX,"The from scratch build of the alice architecture, both iOS and Android",,10,28,,6,28,2019-06-07 02:10:38
https://api.github.com/repos/amitlzkpa/berlinspies_bak,berlinspies_bak,,,0,0,,1,0,2018-12-08 12:15:48
https://api.github.com/repos/andresousa/scannie,scannie,Moved to https://github.com/scannieapp,,1,7,,3,7,2019-02-21 20:08:59
https://api.github.com/repos/ankit90anand/Checkin,Checkin,A decentralized geotaggin app made on Blockstack,,0,1,,1,1,2019-04-06 20:04:16
https://api.github.com/repos/AnthonyRonning/Local-Lightning,Local-Lightning,A p2p platform for buying/selling bitcoin & fiat via lightning,https://www.locallightning.net,5,6,,2,6,2019-04-07 03:38:49
https://api.github.com/repos/AnthonyRonning/ShineWallet,ShineWallet,Web-based non-custodial multi-deamon lightning wallet,https://shinewallet.net,6,7,,1,7,2019-05-17 04:51:04
https://api.github.com/repos/arinyguedes/dphone,dphone,,,6,26,,5,26,2019-07-26 22:11:27
https://api.github.com/repos/arinyguedes/safenotes,safenotes,Securely annotate and store your PDF documents,,5,23,,1,23,2019-06-28 18:11:08
https://api.github.com/repos/Sundly/sundly,sundly,💛 Encrypted & decentralized personal health records. Built on Blockstack and powered by Blockchain.,https://sundly.github.io/,4,20,,4,20,2018-07-11 20:02:47
https://api.github.com/repos/betosmith2000/dMyBlog,dMyBlog,A decentralized Blog with Blockstack,https://www.dmyblog.co,0,0,,1,0,2019-05-10 01:19:50
https://api.github.com/repos/betosmith2000/encryptedbox,encryptedbox,Decentralized Password Manager,,0,2,,1,2,2019-12-08 17:59:16
https://api.github.com/repos/blockpac/DeTradeMe,DeTradeMe,,,1,0,,1,0,2019-05-31 02:27:55
https://api.github.com/repos/blockstack-radiks/banter,banter,A simple Twitter-style app to demo Radiks,https://banter.pub,10,25,,3,25,2019-02-18 17:19:12
https://api.github.com/repos/blockstack/animal-kingdom/issues/798,,,,,,,,,2020-03-02 14:09:24
https://api.github.com/repos/blocktrivia/blocktrivia,blocktrivia,,https://blocktrivia.co,0,0,,2,0,2019-06-19 12:41:21
https://api.github.com/repos/botoberich/boto-web,boto-web,An actually usable photo storage app built on Blockstack,https://boto.photos,2,0,,1,0,2019-07-27 02:19:00
https://api.github.com/repos/brandonparee/blockstack-token-portfolio,blockstack-token-portfolio,,,4,6,,1,6,2017-11-14 05:39:50
https://api.github.com/repos/BrianCottrell/memory-swim,memory-swim,Memory builder application for Blockstack,,0,0,,1,0,2019-08-09 01:57:49
https://api.github.com/repos/brycedev/agaze,agaze,google analytics alternative,https://agaze.co,1,3,,1,3,2019-03-20 07:12:55
https://api.github.com/repos/bucko13/lightning-reader,lightning-reader,,,1,0,,0,0,2019-06-10 04:48:06
https://api.github.com/repos/cameronfr/Paper,Paper,Experiments in digital paper,https://prosepaper.colorsleep.com,0,0,,2,0,2018-09-16 07:57:25
https://api.github.com/repos/cbonoz/blockstack-casino,blockstack-casino,Casino Javascript Game backed by Blockstack.js,,4,4,,1,4,2019-08-09 00:49:00
https://api.github.com/repos/cbonoz/cryptodonate,cryptodonate,A netflix-style donation app for crypto.,,1,1,,1,1,2019-05-19 18:53:00
https://api.github.com/repos/childish-zamboni/ViralChain,ViralChain,A decentralized news network.,https://youthful-darwin-4413ce.netlify.com/,0,0,,0,0,2019-07-01 03:00:36
https://api.github.com/repos/codeamt/GymStrategy,GymStrategy,Reinforcement Learning Sandboxes in the Cloud,,0,0,,1,0,2019-09-03 02:06:33
https://api.github.com/repos/codeswitchgames/gifstack,gifstack,Decentralized GIF Sharing App,,0,0,,2,0,2019-08-28 02:42:55
https://api.github.com/repos/colealbon/cafe-society,cafe-society,news headlines,,1,4,,1,4,2019-03-11 23:48:48
https://api.github.com/repos/colemccracken/blockstack-tangle-ts,blockstack-tangle-ts,,,0,0,,1,0,2019-12-27 22:21:07
https://api.github.com/repos/cryptocracy/dapp,dapp,Democratized Crowdfunding,https://dapp.cryptocracy.io,3,1,,4,1,2018-08-22 15:17:08
https://api.github.com/repos/cryptocracy/remark,remark,Resonate Your Audio,https://remark.cryptocracy.io,1,2,,2,2,2019-03-29 00:27:23
https://api.github.com/repos/danosaur98/Updoot,Updoot,"Decentralized, crowd-sourced business review forum where users are paid to give reviews",,0,1,,0,1,2019-06-08 07:34:14
https://api.github.com/repos/danparamov/mila-crm,mila-crm,CRM built on top of Blockstack,https://milacrm.com/,0,0,,0,0,2019-05-20 20:24:03
https://api.github.com/repos/DAOed/Drive,Drive,DAOed Drive,https://drive.daoed.com,0,3,,1,3,2020-01-28 14:15:30
https://api.github.com/repos/DAOed/Library,Library,DAOed Library,https://library.daoed.com,0,1,,1,1,2020-02-02 17:15:12
https://api.github.com/repos/DAOed/Search,Search,DAOed Search,https://daoed.com,0,1,,1,1,2019-12-01 16:16:34
https://api.github.com/repos/dezzuzu/artupvote,artupvote,,,0,0,,0,0,2019-08-08 04:53:11
https://api.github.com/repos/dhealy05/Hermes,Hermes,"Hermes is decentralized, encrypted messaging, built on Blockstack.",https://www.hihermes.co,6,5,,4,5,2017-12-11 18:00:10
https://api.github.com/repos/diop/litflix,litflix,Netflix Powered by Bitcoin Lightning Payments,https://litflix.video,0,1,,1,1,2019-08-27 20:46:46
